,joint_id,numerator,denominator,baseline,baseline_ranking,rand_num,allocation_ranking,allocation_code,allocation,name,joint_team,CCGs_included
27,00J,300047.52211,1557.677,192.62499357055412,0.8465608465608465,0.9121103221670503,37.0,1.0,I,NHS NORTH DURHAM CCG,North of England CSU (NECS),1.0
28,02X,368629.08632,1922.5470000000003,191.73996074998425,0.8412698412698413,0.043115145287493384,1.0,1.0,I,NHS DONCASTER CCG,,
29,02P,296753.25416,1560.855,190.12224336020964,0.8359788359788359,0.37595241161920456,19.0,1.0,I,NHS BARNSLEY CCG,,
30,09J,302984.81163999997,1612.3380000000002,187.9164366528606,0.8306878306878307,0.3179655691437794,15.0,1.0,I,"NHS DARTFORD, GRAVESHAM AND SWANLEY CCG",,
31,10J,254770.88272000002,1356.025,187.88066792278903,0.8253968253968254,0.3540330239773932,17.0,1.0,I,NHS NORTH HAMPSHIRE CCG,,
32,08Y,280562.94554999995,1498.2289999999998,187.26305895160218,0.8201058201058201,0.9333575725804284,39.0,1.0,I,NHS WEST LONDON CCG,North West London CSU,1.0
33,06L,433874.94753999996,2444.516,177.4891011308578,0.8148148148148148,0.3885452022923963,20.0,0.0,con,,,
34,08L,344895.3807,1978.4009999999998,174.33037119370644,0.8095238095238095,0.8959394398441045,35.0,1.0,I,NHS LEWISHAM CCG,,
35,09L,190414.06397,1094.304,174.00472260907387,0.8042328042328042,0.14550322049726339,6.0,0.0,con,,,
36,03J,777531.56537,4482.0419999999995,173.47708151106127,0.798941798941799,0.49036029531026415,23.0,1.0,I,NHS NORTH KIRKLEES CCG,North Kirklees Shared Service,3.0
37,00Y,263617.28942000004,1530.4870000000003,172.2440565780696,0.7936507936507936,0.9233404023616004,38.0,0.0,con,,,
38,05N,318452.63165,1858.088,171.38727102806757,0.7883597883597884,0.8013113022947342,30.0,0.0,con,,,
39,10D,115828.24782000002,678.013,170.83484803388728,0.783068783068783,0.8483718181196304,32.0,0.0,con,,,
